# vol beta    mean                  error_mean              variance                error_variance          skewness                error_skewness          kurtosis                error_kurtosis
8 4.9660   1.064659076280464e+00   8.002995717764435e-03   3.114027792836715e-02   1.359545226395299e-03  -8.154258989254402e-01   8.130028378793207e-02   2.364236421889359e+00   1.785819280851383e-01  
8 4.9680   9.691009293935053e-01   9.724572829765672e-03   3.777492122542370e-02   6.495251100744330e-04  -4.234037651732869e-02   7.687965564149855e-02   1.546011498927953e+00   1.890649334563363e-02  
8 4.9700   9.379746952797063e-01   9.129683299458496e-03   3.662884316256054e-02   7.233034585345945e-04   1.774060283203340e-01   7.512538009948723e-02   1.587174483091928e+00   4.092845926980018e-02  
8 4.9720   8.475993844590164e-01   7.947529822571327e-03   2.724576652245947e-02   1.688185356477360e-03   9.409452936900777e-01   8.363861932275252e-02   2.793466185923194e+00   2.401255762171771e-01  
12 4.9680   1.016648849256896e+00   1.237170351193295e-02   2.474791982107316e-02   1.103915345697998e-03  -4.341732044354742e-01   1.333028891172881e-01   1.707748177838482e+00   1.467057151549701e-01  
12 4.9690   9.659442548390942e-01   1.806959519094344e-02   2.865590226801062e-02   8.089595424496319e-04   2.744810697206113e-03   1.773871755800643e-01   1.409621177152999e+00   3.062631225251251e-02  
12 4.9700   8.693633705904986e-01   1.293817964956476e-02   1.952390533562665e-02   2.266418701501830e-03   9.427945457547295e-01   1.580277880045950e-01   2.638396781746650e+00   4.809903112617232e-01  
16 4.9680   1.079991027309404e+00   1.455864014231380e-02   1.386373334320262e-02   2.660286956105750e-03  -1.323003642351537e+00   2.963824700023954e-01   3.379242684451214e+00   1.086208030712704e+00  
16 4.9690   9.501375603120934e-01   2.335191478531332e-02   2.324850385644994e-02   9.450567319343226e-04   1.718053936766362e-01   2.558358121184230e-01   1.300366587001001e+00   9.243889852733961e-02  
16 4.9700   8.121938009700003e-01   7.506968621502368e-03   5.778150275973393e-03   2.142734676538883e-03   2.763668724009804e+00   2.362932957360063e-01   1.132753907160895e+01   1.966433425415381e+00  
