N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10,mmd_run11,mmd_run12,mmd_run13,mmd_run14,mmd_run15,mmd_run16,mmd_run17,mmd_run18,mmd_run19,mmd_run20
16.0,0.075,4.968,0.00039281419485632797,0.00022520305575186855,0.0008292732527479529,0.00020757803576998413,0.0005814576870761812,0.00023674461408518255,0.000203231509658508,0.0005547474720515311,0.0002790966536849737,0.00029181590070948005,0.0004986521089449525,0.00015465197793673724,0.0002889737661462277,0.0005131839425303042,0.00027740796213038266,0.0004132278263568878,0.00010030371049651876,0.0003187298134434968,0.00010718603152781725,0.0009716722997836769,0.0005046537844464183,0.0005236955475993454
16.0,0.075,4.97,0.002928147299098782,0.0010177432493784827,0.0022329711355268955,0.001200666418299079,0.0024059717543423176,0.003703898983076215,0.0019936091266572475,0.0007325837505050004,0.003254986135289073,0.003873394802212715,0.003853949485346675,0.0038756660651415586,0.004192376043647528,0.004313538316637278,0.003351733786985278,0.0030926784966140985,0.0021923992317169905,0.003504941239953041,0.004172280430793762,0.0018844878068193793,0.002533465391024947,0.002197347581386566
16.0,0.075,4.969,0.002780605008592829,0.0010357093497011523,0.006080996245145798,0.0016316939145326614,0.003327602054923773,0.002773615997284651,0.0018153038108721375,0.0025427809450775385,0.002344976644963026,0.0027165308129042387,0.00399713683873415,0.001348730642348528,0.002788000041618943,0.0023398385383188725,0.002427617320790887,0.002105013933032751,0.003360367612913251,0.002037432510405779,0.0020913388580083847,0.0038839061744511127,0.0036231130361557007,0.002376104239374399
8.0,0.075,4.972,0.000275288457487477,0.00011804850961752498,0.00029468510183505714,0.0005796325858682394,0.0002002771507250145,0.0004048371338285506,0.00012891148799099028,0.0001536805648356676,0.0002824996772687882,0.00024246684915851802,0.0002957558026537299,0.00012251047883182764,0.00023547625460196286,0.00027684951783157885,0.000293517456157133,0.00019458409224171191,0.0005451783072203398,0.00026085361605510116,0.00020402169320732355,0.0003505293861962855,0.000263357738731429,0.00017614425451029092
8.0,0.075,4.968,0.0003459489089436829,0.00016474348324792382,0.0002722930512391031,0.0004943425301462412,0.0003218690981157124,0.0002464135177433491,0.0003829000052064657,0.0003493109834380448,0.000689147156663239,0.00021442046272568405,0.0004472402506507933,0.00014824954268988222,0.00047674201778136194,0.0002273264981340617,0.0007941325311549008,0.0003435914986766875,0.0001944773830473423,0.0002319694758625701,0.00041467236587777734,0.00019600961240939796,0.00024431743077002466,0.00022955276654101908
8.0,0.075,4.966,0.00023228384234244003,0.00010552873292008211,0.0002655877615325153,0.00032113323686644435,0.0001454504090361297,0.0001485453685745597,0.00043116899905726314,0.00011195248225703835,0.000232284190133214,0.00014743732754141092,0.00010368345829192549,0.00010779430158436298,0.00014366445248015225,0.00014672306133434176,0.00012386447633616626,0.00021875214588362724,0.00033683914807625115,0.00032601947896182537,0.00035650969948619604,0.0002968979242723435,0.00025134626775979996,0.0004300226573832333
8.0,0.075,4.97,0.0004444672471436206,0.0002595460522568652,0.0010492128785699606,0.0005394038744270802,0.00027940631844103336,0.00013985410623718053,0.0002605555928312242,0.0005281750345602632,0.0003969117533415556,0.00017629817011766136,0.0007199138635769486,0.00041389447869732976,0.0002075499651255086,0.000292323442408815,0.00028175552142784,0.0004930194118060172,0.0011194052640348673,0.0003784604195971042,0.00023773631255608052,0.0006236694753170013,0.00031092268181964755,0.00044087637797929347
12.0,0.075,4.968,0.008641260156582575,0.008521126087152324,0.010292945429682732,0.00487105268985033,0.02216500975191593,0.010565993376076221,0.004297698847949505,0.009452998638153076,0.006461401470005512,0.0012197818141430616,0.00450756773352623,0.002805775497108698,0.014333188533782959,0.0015198057517409325,0.002351806964725256,0.023228250443935394,0.031216751784086227,0.0002458624367136508,0.0006752277840860188,0.0011275038123130798,0.004667948931455612,0.016818631440401077
12.0,0.075,4.97,0.016927368217147888,0.020000821197909628,0.002008971758186817,0.014043952338397503,0.018153969198465347,0.0005757473409175873,0.009955773130059242,0.024416938424110413,0.07377700507640839,0.0016326711047440767,0.01312527246773243,0.004158698953688145,0.012339530512690544,0.0025224073324352503,0.0076247937977313995,0.02634788677096367,0.06544695794582367,0.03751271963119507,0.0012106598587706685,0.0010487994877621531,0.01346517913043499,0.009179430082440376
12.0,0.075,4.969,0.028235228956327775,0.04284126561349998,0.005993019323796034,0.011737200431525707,0.0006596380262635648,0.022877374663949013,0.056611914187669754,0.0043412004597485065,0.008856569416821003,0.02502002753317356,0.057937633246183395,0.006123804487287998,0.08020540326833725,0.009374765679240227,0.021428868174552917,0.004645130597054958,0.19014331698417664,0.0029128247406333685,0.009646566584706306,0.035632599145174026,0.010233049280941486,0.00032367289531975985
