         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.976000000     1.080702556     0.003429423    -0.847800307     0.039509271     2.541250845     0.083385310
    4.976050000     1.079307981     0.003432270    -0.834812720     0.039338851     2.511513117     0.081896855
    4.976100000     1.077904761     0.003435104    -0.821813427     0.039171302     2.482269710     0.080425513
    4.976150000     1.076492964     0.003437925    -0.808803139     0.039006605     2.453520539     0.078971157
    4.976200000     1.075072659     0.003440729    -0.795782549     0.038844737     2.425265447     0.077533664
    4.976250000     1.073643921     0.003443517    -0.782752334     0.038685680     2.397504213     0.076112916
    4.976300000     1.072206826     0.003446286    -0.769713154     0.038529412     2.370236546     0.074708797
    4.976350000     1.070761454     0.003449036    -0.756665657     0.038375917     2.343462095     0.073321196
    4.976400000     1.069307890     0.003451766    -0.743610470     0.038225175     2.317180447     0.071950007
    4.976450000     1.067846220     0.003454474    -0.730548209     0.038077170     2.291391135     0.070595128
    4.976500000     1.066376536     0.003457159    -0.717479473     0.037931884     2.266093638     0.069256465
    4.976550000     1.064898930     0.003459819    -0.704404847     0.037789304     2.241287379     0.067933927
    4.976600000     1.063413500     0.003462455    -0.691324901     0.037649412     2.216971739     0.066627431
    4.976650000     1.061920346     0.003465064    -0.678240190     0.037512194     2.193146044     0.065336901
    4.976700000     1.060419573     0.003467645    -0.665151255     0.037377637     2.169809588     0.064062268
    4.976750000     1.058911288     0.003470199    -0.652058623     0.037245726     2.146961610     0.062803470
    4.976800000     1.057395601     0.003472722    -0.638962810     0.037116449     2.124601324     0.061560457
    4.976850000     1.055872626     0.003475216    -0.625864314     0.036989793     2.102727897     0.060333187
    4.976900000     1.054342481     0.003477678    -0.612763624     0.036865746     2.081340469     0.059121626
    4.976950000     1.052805285     0.003480108    -0.599661214     0.036744298     2.060438142     0.057925754
    4.977000000     1.051261162     0.003482505    -0.586557545     0.036625436     2.040019993     0.056745563
    4.977050000     1.049710240     0.003484868    -0.573453067     0.036509151     2.020085066     0.055581056
    4.977100000     1.048152647     0.003487197    -0.560348219     0.036395433     2.000632392     0.054432251
    4.977150000     1.046588517     0.003489491    -0.547243425     0.036284272     1.981660959     0.053299182
    4.977200000     1.045017987     0.003491748    -0.534139100     0.036175658     1.963169751     0.052181898
    4.977250000     1.043441195     0.003493969    -0.521035649     0.036069583     1.945157726     0.051080467
    4.977300000     1.041858284     0.003496153    -0.507933463     0.035966040     1.927623823     0.049994973
    4.977350000     1.040269398     0.003498299    -0.494832924     0.035865019     1.910566969     0.048925523
    4.977400000     1.038674685     0.003500407    -0.481734405     0.035766513     1.893986071     0.047872245
    4.977450000     1.037074297     0.003502476    -0.468638267     0.035670515     1.877880030     0.046835291
    4.977500000     1.035468388     0.003504506    -0.455544863     0.035577018     1.862247731     0.045814839
    4.977550000     1.033857112     0.003506497    -0.442454535     0.035486015     1.847088048     0.044811091
    4.977600000     1.032240630     0.003508448    -0.429367619     0.035397501     1.832399865     0.043824283
    4.977650000     1.030619102     0.003510359    -0.416284440     0.035311469     1.818182037     0.042854678
    4.977700000     1.028992694     0.003512230    -0.403205313     0.035227914     1.804433417     0.041902575
    4.977750000     1.027361570     0.003514060    -0.390130550     0.035146830     1.791152865     0.040968308
    4.977800000     1.025725901     0.003515849    -0.377060451     0.035068212     1.778339242     0.040052249
    4.977850000     1.024085857     0.003517598    -0.363995310     0.034992057     1.765991395     0.039154810
    4.977900000     1.022441612     0.003519306    -0.350935415     0.034918358     1.754108171     0.038276448
    4.977950000     1.020793341     0.003520974    -0.337881045     0.034847112     1.742688428     0.037417662
    4.978000000     1.019141222     0.003522601    -0.324832474     0.034778315     1.731731021     0.036579003
    4.978050000     1.017485433     0.003524187    -0.311789970     0.034711964     1.721234808     0.035761067
    4.978100000     1.015826157     0.003525733    -0.298753797     0.034648054     1.711198659     0.034964507
    4.978150000     1.014163577     0.003527238    -0.285724207     0.034586583     1.701621425     0.034190025
    4.978200000     1.012497877     0.003528704    -0.272701456     0.034527548     1.692501998     0.033438383
    4.978250000     1.010829244     0.003530129    -0.259685787     0.034470945     1.683839243     0.032710395
    4.978300000     1.009157866     0.003531516    -0.246677445     0.034416773     1.675632062     0.032006933
    4.978350000     1.007483931     0.003532863    -0.233676667     0.034365028     1.667879337     0.031328926
    4.978400000     1.005807631     0.003534171    -0.220683686     0.034315710     1.660579979     0.030677354
    4.978450000     1.004129158     0.003535442    -0.207698735     0.034268815     1.653732902     0.030053251
    4.978500000     1.002448703     0.003536674    -0.194722039     0.034224343     1.647337023     0.029457696
    4.978550000     1.000766462     0.003537869    -0.181753825     0.034182291     1.641391278     0.028891812
    4.978600000     0.999082628     0.003539028    -0.168794314     0.034142659     1.635894609     0.028356752
    4.978650000     0.997397397     0.003540151    -0.155843725     0.034105445     1.630845963     0.027853696
    4.978700000     0.995710966     0.003541238    -0.142902277     0.034070648     1.626244311     0.027383835
    4.978750000     0.994023531     0.003542290    -0.129970187     0.034038268     1.622088624     0.026948359
