         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.986000000     1.149795997     0.006069194    -1.893210812     0.090082393     7.547814861     0.697287620
    4.986080808     1.147085333     0.006116179    -1.854745598     0.093054254     7.212386388     0.694543819
    4.986161616     1.144245523     0.006122997    -1.811974866     0.092641511     6.883157706     0.636479371
    4.986242424     1.141465110     0.006030255    -1.769632446     0.092504986     6.562653106     0.580497686
    4.986323232     1.138514453     0.005871732    -1.722440377     0.091274757     6.237782472     0.547485603
    4.986404040     1.135516083     0.005732480    -1.677071227     0.089450183     5.964245225     0.526258206
    4.986484848     1.132449162     0.005472227    -1.627272489     0.083924663     5.649008207     0.451632090
    4.986565657     1.129362148     0.005164597    -1.579142139     0.079434640     5.374519271     0.409111178
    4.986646465     1.126171380     0.004878372    -1.528459563     0.074679261     5.110267829     0.360523610
    4.986727273     1.122904742     0.004591650    -1.479222086     0.070629610     4.857130146     0.322924855
    4.986808081     1.119515246     0.004226457    -1.427838756     0.065754779     4.607655627     0.293777626
    4.986888889     1.115998560     0.003951250    -1.375058181     0.062035230     4.368356086     0.251808592
    4.986969697     1.112390816     0.003679808    -1.322346711     0.056825985     4.145603576     0.220559390
    4.987050505     1.108663940     0.003509151    -1.268577571     0.054411576     3.931174385     0.202499556
    4.987131313     1.104697728     0.003369060    -1.213522223     0.051741110     3.721523151     0.177840716
    4.987212121     1.100628877     0.003199195    -1.156889312     0.047675045     3.517868875     0.158253097
    4.987292929     1.096373725     0.003019978    -1.099498547     0.043595937     3.327763755     0.134350018
    4.987373737     1.091915214     0.002738737    -1.041339004     0.037909832     3.146507239     0.109280059
    4.987454545     1.087301129     0.002519617    -0.981866909     0.033376092     2.973763680     0.091708894
    4.987535354     1.082592624     0.002227346    -0.923209302     0.028856628     2.812134701     0.077616678
    4.987616162     1.077774006     0.001934335    -0.864533100     0.024039640     2.665266930     0.058514004
    4.987696970     1.072805458     0.001672224    -0.805439937     0.018909642     2.531105072     0.045365289
    4.987777778     1.067764765     0.001434298    -0.747285015     0.015316223     2.404943064     0.031453692
    4.987858586     1.062646532     0.001350671    -0.689148362     0.013505972     2.291206368     0.029368218
    4.987939394     1.057501787     0.001264298    -0.632282767     0.011595090     2.186964827     0.022351395
    4.988020202     1.052252471     0.001366848    -0.575112183     0.012562882     2.094528757     0.021393005
    4.988101010     1.046974272     0.001640802    -0.518749599     0.015773350     2.011665017     0.023257119
    4.988181818     1.041755265     0.001886705    -0.464009730     0.018345867     1.940670638     0.022314511
    4.988262626     1.036444426     0.002166844    -0.408865789     0.021582768     1.877406969     0.023215577
    4.988343434     1.031238174     0.002254585    -0.355825991     0.022922281     1.822929957     0.021269798
    4.988424242     1.026146328     0.002217169    -0.304365175     0.022064654     1.778521799     0.017487876
    4.988505051     1.021077865     0.002148483    -0.254135198     0.021965287     1.741729152     0.015555569
    4.988585859     1.016111708     0.001991186    -0.204604049     0.019812303     1.711419199     0.010267284
    4.988666667     1.011219966     0.001794938    -0.156288080     0.018493459     1.688633061     0.008489638
    4.988747475     1.006409544     0.001592395    -0.108930432     0.016586182     1.671959794     0.006950696
    4.988828283     1.001658428     0.001495571    -0.062897285     0.016032934     1.662819873     0.006302026
    4.988909091     0.997011840     0.001469957    -0.017275203     0.016124351     1.658946968     0.005165437
