         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.986000000     1.100811803     0.008831649    -0.899033610     0.063046544     2.805699282     0.173165285
    4.986040201     1.098870349     0.008788518    -0.881896451     0.062685943     2.761930421     0.172047877
    4.986080402     1.097090983     0.008737497    -0.865880037     0.061717702     2.721866411     0.166936704
    4.986120603     1.095271027     0.008468090    -0.850135698     0.059557187     2.680882977     0.157251624
    4.986160804     1.093364489     0.008471956    -0.833243286     0.059257254     2.642212902     0.152521325
    4.986201005     1.091543126     0.008292115    -0.818230757     0.057824405     2.607538383     0.147887054
    4.986241206     1.089728200     0.008119218    -0.802343337     0.056103292     2.569748989     0.138996976
    4.986281407     1.087987244     0.007942015    -0.787568304     0.055059378     2.536210946     0.133188138
    4.986321608     1.085996032     0.007797610    -0.769576120     0.053329364     2.494212051     0.125955997
    4.986361809     1.084238160     0.007568593    -0.754826938     0.051832528     2.464780035     0.118205474
    4.986402010     1.082414305     0.007622756    -0.739547390     0.052091404     2.433720617     0.117669247
    4.986442211     1.080656731     0.007335820    -0.724445406     0.049735384     2.403055372     0.109845506
    4.986482412     1.078874063     0.007249524    -0.709491503     0.049313917     2.371092867     0.107279766
    4.986522613     1.077122569     0.007217325    -0.695135162     0.049480301     2.342215989     0.104878140
    4.986562814     1.075389278     0.007223729    -0.680726034     0.048470212     2.312699559     0.097604671
    4.986603015     1.073631322     0.007117056    -0.665850311     0.048015711     2.285766377     0.095619679
    4.986643216     1.071920216     0.006966378    -0.651617712     0.046770401     2.261355066     0.091930221
    4.986683417     1.070171654     0.006822709    -0.637786310     0.045491356     2.235130622     0.088838421
    4.986723618     1.068651736     0.006870171    -0.624593917     0.045884191     2.213045322     0.082587082
    4.986763819     1.067005408     0.006746931    -0.611840847     0.045522672     2.189336250     0.083585470
    4.986804020     1.065410125     0.006733767    -0.598043749     0.045625942     2.166882758     0.079834115
    4.986844221     1.063794613     0.006691401    -0.585016628     0.044796374     2.145939028     0.078103549
    4.986884422     1.062322235     0.006650289    -0.573258710     0.044389351     2.126573828     0.075885551
    4.986924623     1.060845125     0.006447076    -0.561064481     0.042550373     2.106422641     0.072128675
    4.986964824     1.059409618     0.006293704    -0.548390055     0.041920950     2.086472031     0.068499538
    4.987005025     1.057990921     0.006176042    -0.536937833     0.041066976     2.069146722     0.064595496
    4.987045226     1.056793356     0.006011125    -0.527788755     0.039430266     2.057355519     0.060028691
    4.987085427     1.055299067     0.005854499    -0.515196432     0.038485258     2.037333198     0.059420132
    4.987125628     1.054111719     0.005695325    -0.505656978     0.037604892     2.026035176     0.057114875
    4.987165829     1.052673995     0.005486406    -0.493901612     0.035872208     2.008139487     0.052167467
    4.987206030     1.051538932     0.005279307    -0.484893456     0.034238021     1.996200736     0.047581235
    4.987246231     1.050291288     0.004994222    -0.474314095     0.031249488     1.983522975     0.043082819
    4.987286432     1.049073482     0.004839941    -0.463974264     0.030688840     1.967976315     0.044170724
    4.987326633     1.047717857     0.004706641    -0.453824247     0.030535826     1.954892775     0.041912877
    4.987366834     1.046483231     0.004413552    -0.443589589     0.028361734     1.944624278     0.037788140
    4.987407035     1.045266473     0.004177582    -0.434167121     0.026464061     1.931963919     0.034916134
    4.987447236     1.044141543     0.003901340    -0.424320207     0.024601068     1.919309374     0.029696122
    4.987487437     1.042936015     0.003723591    -0.414404739     0.023667655     1.909110147     0.028708501
    4.987527638     1.041770279     0.003523754    -0.405292387     0.022299165     1.897876822     0.028592156
    4.987567839     1.040494633     0.003287861    -0.394787772     0.020794480     1.886923857     0.025402954
    4.987608040     1.039260268     0.003136522    -0.385187606     0.020094629     1.876940446     0.021625842
    4.987648241     1.038323975     0.002910792    -0.377533299     0.018740492     1.868640428     0.020153692
    4.987688442     1.037119365     0.002712859    -0.368120489     0.017163777     1.858362280     0.019362992
    4.987728643     1.036070943     0.002518655    -0.359727091     0.016315216     1.849686345     0.018648941
    4.987768844     1.034973943     0.002396986    -0.350800905     0.015478868     1.841981070     0.016363454
    4.987809045     1.033908606     0.002144073    -0.341879348     0.014498957     1.831930047     0.016401370
    4.987849246     1.032789147     0.001939705    -0.333001745     0.012945107     1.824423832     0.012605561
    4.987889447     1.031629884     0.001678492    -0.323884844     0.011729437     1.815944957     0.010610605
    4.987929648     1.030275786     0.001461729    -0.313006235     0.010069686     1.807670164     0.009869704
    4.987969849     1.029147124     0.001262302    -0.303777936     0.009130356     1.799008075     0.007716882
    4.988010050     1.028049660     0.001169972    -0.295188205     0.008325896     1.792368826     0.006134917
    4.988050251     1.026753139     0.001154427    -0.284792059     0.008558724     1.784520249     0.006591449
    4.988090452     1.025554812     0.001255772    -0.275638788     0.008898381     1.777209609     0.007096481
    4.988130653     1.024371231     0.001200019    -0.266304738     0.009046499     1.770506181     0.007490202
    4.988170854     1.023350966     0.001183806    -0.258376308     0.008479340     1.765216331     0.006508481
    4.988211055     1.022338974     0.001400723    -0.250696627     0.009984790     1.759564339     0.005915090
    4.988251256     1.021043038     0.001357238    -0.240502511     0.010041351     1.752746770     0.006591260
    4.988291457     1.019890153     0.001384003    -0.231505136     0.010121632     1.747076932     0.005582635
    4.988331658     1.018691850     0.001485919    -0.221580626     0.010454546     1.741419804     0.004258582
    4.988371859     1.017653334     0.001588014    -0.213944534     0.011232951     1.737058405     0.005755013
    4.988412060     1.016396081     0.001657501    -0.204448826     0.011851222     1.732523955     0.007212088
    4.988452261     1.015327430     0.001736416    -0.196240046     0.012031418     1.727297259     0.005952738
    4.988492462     1.014070284     0.001855098    -0.186134597     0.013466220     1.722510834     0.006239478
    4.988532663     1.013129890     0.001979243    -0.179056001     0.013672552     1.717722711     0.005918768
    4.988572864     1.011791801     0.002086000    -0.168819295     0.014731625     1.714925935     0.006483536
    4.988613065     1.010635424     0.002134507    -0.159635546     0.015075973     1.709634830     0.005377211
    4.988653266     1.009455407     0.002215335    -0.150315275     0.015827387     1.706801841     0.005335859
    4.988693467     1.008321404     0.002193382    -0.142153016     0.015188305     1.702857752     0.006510893
    4.988733668     1.007128358     0.002360983    -0.132665564     0.016742797     1.699805315     0.006324579
    4.988773869     1.005936074     0.002324666    -0.123475840     0.016562646     1.696866976     0.005819092
    4.988814070     1.004845369     0.002246550    -0.115313293     0.016210724     1.694787018     0.006697884
    4.988854271     1.003666502     0.002191235    -0.105993212     0.015649386     1.692059561     0.005125757
    4.988894472     1.002582747     0.002418538    -0.097642999     0.017639051     1.689216442     0.004684306
    4.988934673     1.001316148     0.002457040    -0.088244482     0.017350172     1.687111686     0.005840808
    4.988974874     1.000266922     0.002361612    -0.080318533     0.017462876     1.686377141     0.004261659
    4.989015075     0.999187869     0.002294804    -0.072036983     0.016522007     1.683175298     0.004527572
    4.989055276     0.997870451     0.002384406    -0.061591819     0.017627397     1.681670187     0.003520383
