         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.975000000     1.177360940     0.011635976    -0.947954208     0.518865282     9.149304628     4.179758761
    4.975075630     1.176660877     0.011380696    -0.973264109     0.543591236     7.246262791     5.448303977
    4.975151261     1.175933534     0.011136363    -1.061371458     0.547142098     9.117442863     4.579996625
    4.975226891     1.175215876     0.010877965    -1.118298743     0.545067375     8.852636361     4.187063329
    4.975302521     1.174473983     0.010640780    -1.185234528     0.548962512     9.352493253     3.925512514
    4.975378151     1.173721379     0.010400404    -1.259725440     0.565168528    10.059561590     5.726802846
    4.975453782     1.172913182     0.010164585    -1.339456917     0.553011933    10.652017616     4.260884629
    4.975529412     1.172096264     0.009952837    -1.434889366     0.538103870    12.183075419     3.292052763
    4.975605042     1.171258640     0.009693614    -1.506797908     0.540398032    11.927076529     4.453907000
    4.975680672     1.170366293     0.009477146    -1.584587947     0.523129863    11.691976450     4.148657982
    4.975756303     1.169464898     0.009251709    -1.688078218     0.503672227    12.378432944     4.003118622
    4.975831933     1.168533206     0.009015043    -1.771633619     0.478063377    13.122700238     2.855701872
    4.975907563     1.167577034     0.008788401    -1.884518654     0.435827237    14.444182242     2.086421873
    4.975983193     1.166597712     0.008588117    -1.954462357     0.427826201    13.901422455     3.014067252
    4.976058824     1.165569180     0.008364218    -2.063302583     0.392519024    15.149777067     2.840208666
    4.976134454     1.164482749     0.008152038    -2.144383419     0.355184862    15.194450206     2.368939761
    4.976210084     1.163394076     0.007943463    -2.216564661     0.327795663    14.983527896     2.054528709
    4.976285714     1.162220120     0.007738029    -2.309902131     0.288762782    15.774148381     1.484771954
    4.976361345     1.160971582     0.007522580    -2.387713701     0.245239915    15.848498513     1.270018744
    4.976436975     1.159665179     0.007323828    -2.452857584     0.202959819    15.897292280     0.984234608
    4.976512605     1.158243412     0.007044207    -2.510449156     0.165887290    15.764941077     1.076661235
    4.976588235     1.156712461     0.006758578    -2.567378405     0.134087000    15.827410150     1.058180420
    4.976663866     1.155079859     0.006459757    -2.603257781     0.097198674    15.418134190     1.000467367
    4.976739496     1.153390145     0.006147976    -2.630925349     0.071089620    15.202308170     1.099223952
    4.976815126     1.151584697     0.005807034    -2.638814628     0.056855249    14.650828990     0.999783790
    4.976890756     1.149642479     0.005504541    -2.638781857     0.044273813    14.219980922     1.128212040
    4.976966387     1.147577190     0.005171708    -2.623848163     0.050949823    13.555681264     1.052008964
    4.977042017     1.145368743     0.004863380    -2.604942338     0.057807727    13.166733989     1.093511340
    4.977117647     1.142979079     0.004575466    -2.562859975     0.063032255    12.350812843     0.934410423
    4.977193277     1.140397096     0.004248448    -2.510200710     0.066581664    11.560416850     0.871322941
    4.977268908     1.137628573     0.003883611    -2.448086598     0.065902406    10.786268859     0.735226455
    4.977344538     1.134650588     0.003535468    -2.378667206     0.062784243    10.074685126     0.640681217
    4.977420168     1.131501997     0.003131796    -2.300838171     0.060433651     9.336631749     0.556124554
    4.977495798     1.128134251     0.002742692    -2.216739194     0.052903148     8.636196121     0.432757084
    4.977571429     1.124561751     0.002314214    -2.128235360     0.045517450     7.953093254     0.351554077
    4.977647059     1.120635629     0.001922999    -2.032756108     0.038449377     7.281581436     0.265034611
    4.977722689     1.116489393     0.001574973    -1.933788102     0.032728894     6.650848939     0.215666590
    4.977798319     1.112040347     0.001304670    -1.831737545     0.027353217     6.065336883     0.168719358
    4.977873950     1.107158226     0.001120071    -1.725550012     0.023564379     5.489876909     0.123753420
    4.977949580     1.101940882     0.001043485    -1.617608522     0.021869280     4.965747879     0.108749237
    4.978025210     1.096433032     0.001030679    -1.508259628     0.020591440     4.482028299     0.086751896
    4.978100840     1.090607333     0.001193052    -1.400622190     0.022979535     4.054421508     0.092755533
    4.978176471     1.084395516     0.001370158    -1.291502207     0.023680495     3.656081866     0.084134489
    4.978252101     1.077904010     0.001602944    -1.183849951     0.025628140     3.299141284     0.083022235
