         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.986000000     1.160870540     0.016345554    -2.093179563     0.118461329     8.731383619     1.445320088
    4.986040201     1.159288955     0.016266280    -2.075062431     0.128424070     8.581583126     1.510966996
    4.986080402     1.157621753     0.016286602    -2.049032404     0.137651812     8.310704935     1.501586260
    4.986120603     1.155982077     0.016235612    -2.021869055     0.149649429     8.077246948     1.534293131
    4.986160804     1.154207301     0.016250262    -1.996450480     0.160329520     7.895770055     1.538021744
    4.986201005     1.152421594     0.016231177    -1.970116443     0.169043579     7.666745948     1.543288024
    4.986241206     1.150645590     0.016287154    -1.942022249     0.178100763     7.465459101     1.512280152
    4.986281407     1.148749900     0.016309769    -1.910377019     0.187909561     7.187995455     1.478997573
    4.986321608     1.146890152     0.016358263    -1.881832650     0.196795583     7.017611021     1.502906705
    4.986361809     1.145005262     0.016485801    -1.852463082     0.205293763     6.816398133     1.455329389
    4.986402010     1.143049395     0.016537160    -1.818473843     0.209601246     6.565124059     1.408426198
    4.986442211     1.141109705     0.016647062    -1.789383648     0.219076102     6.411271265     1.430701723
    4.986482412     1.139094543     0.016761867    -1.757192426     0.223704682     6.223010624     1.400600185
    4.986522613     1.137051058     0.016949979    -1.722175139     0.226464601     5.992932678     1.299203546
    4.986562814     1.134935760     0.017162699    -1.689229737     0.234638484     5.823835403     1.314625648
    4.986603015     1.132781804     0.017318725    -1.654508949     0.238370177     5.627670405     1.254511841
    4.986643216     1.130548739     0.017487865    -1.620480165     0.243383308     5.435981323     1.219711120
    4.986683417     1.128365505     0.017690153    -1.586457658     0.245537624     5.270122522     1.169952903
    4.986723618     1.126128650     0.017942401    -1.552891889     0.249406000     5.096735663     1.136922532
    4.986763819     1.123817253     0.018245115    -1.517892601     0.253285770     4.938653929     1.110196107
    4.986804020     1.121532214     0.018576059    -1.484037236     0.257305813     4.773443871     1.065637941
    4.986844221     1.119209933     0.018784398    -1.450894978     0.257471967     4.628011692     1.021033174
    4.986884422     1.116813052     0.019192344    -1.415301239     0.261847289     4.476137409     0.992092937
    4.986924623     1.114374065     0.019501458    -1.381020026     0.264502249     4.343624592     0.953777212
    4.986964824     1.111959541     0.019893953    -1.347293434     0.266922286     4.197618013     0.906942927
    4.987005025     1.109485114     0.020239869    -1.313822794     0.269092990     4.068914636     0.884516069
    4.987045226     1.106951880     0.020662922    -1.278437733     0.270606679     3.934210037     0.844253716
    4.987085427     1.104421389     0.021057925    -1.245169343     0.273216384     3.805016950     0.812954391
    4.987125628     1.101841283     0.021422512    -1.210325825     0.274789666     3.688844819     0.782064906
    4.987165829     1.099180734     0.021956792    -1.175691697     0.277349608     3.573174128     0.753970648
    4.987206030     1.096543348     0.022412106    -1.142173512     0.279075768     3.467945762     0.723788286
    4.987246231     1.093886375     0.022848947    -1.107887147     0.281324064     3.354998372     0.690388278
    4.987286432     1.091186440     0.023316107    -1.073839357     0.283594028     3.248322742     0.665455243
    4.987326633     1.088497901     0.023832201    -1.040459978     0.285285211     3.155235300     0.641072033
    4.987366834     1.085753894     0.024335365    -1.006859731     0.288257354     3.064684345     0.615123008
    4.987407035     1.083032930     0.024719379    -0.974063876     0.289206149     2.975004960     0.596474319
    4.987447236     1.080226004     0.025199471    -0.939695724     0.291260838     2.883872861     0.574269608
    4.987487437     1.077550495     0.025597851    -0.908438572     0.292917400     2.806044761     0.548857602
    4.987527638     1.074860835     0.025897775    -0.877050004     0.293948478     2.730248568     0.529599349
    4.987567839     1.072249055     0.026136374    -0.846619864     0.293466569     2.662083518     0.510834154
    4.987608040     1.069590354     0.026451303    -0.815444543     0.294348012     2.588316099     0.485851135
